Name,Title,Departments,Research Keywords,Faculty Information,Office Room,Location,Website
Elizabeth Logsdon,Senior Lecturer,Biomedical Engineering,"Project-based learning, Design Thinking, Engineering education, prototyping, medical device regulation, tissue engineering",,Clark 104B,Clark Hall,
Elizabeth Patton,Senior Lecturer,"Comparative Thought & Literature,Alexander Grass Humanities Institute",  English and Comparative Literature,"In addition to her own scholarly research, during the last two decades at Johns Hopkins Elizabeth Patton has fostered and supervised both undergraduate and graduate level research in the humanities:

During 2015 and 2016, with continuing support from the Singleton Center for the Study of Premodern Europe, she organized and led the Working Group on Practical Translation and Source Reconstruction. This was a collaborative and interdepartmental effort involving graduate students and faculty in Classics and the premodern languages. Collectively, the group translated and collated unedited sixteenth-century manuscript translations, in Latin, Italian, and Spanish, of a lost English source. Results were presented at a student-organized conference panel at the annual conference of the Renaissance Society of America in 2016. From 2012-2015 she was interim director of the Undergraduate Honors Program in Humanistic Studies, tasked with assisting the program’s transition through the retirement of its co-founder and longtime director, Richard Macksey. In 2016 and 2017 she directed the KSAS Master of Liberal Arts program (MLA), then in need of direction during a period of rapid growth and transition.

She consults with graduate fellows in the Alexander Grass Humanities Institute and supervises undergraduate research as adviser for students in the Krieger school’s undergraduate major, Medicine, Science and Humanities.",Mergenthaler 427,Keyser Quad,
Elizabeth Platz,Professor,"Oncology, Sidney Kimmel Comprehensive Cancer Center,Urology,Epidemiology",Epidemiologyprostate cancer incidence and recurrencebenign prostatic hyperplasiacolorectal canceradenomatous polypsdietlifestyleracegeneticsepigeneticstelomeresinflammationinsulinobesitysex steroid hormonesvitamin D,,"615 N. Wolfe Street, Room E6132, Baltimore, Maryland 21205",615 N. Wolfe Street,
Elizabeth Stuart,Professor ,"Population Center,Biostatistics,Health Policy and Management,Mental Health,Institute for Data Intensive Engineering & Science (IDIES)",Mental health; policy evaluation; biostatistics; causal inference; generalizability of results from randomized trials to target populations; external validity; non-experimental study; propensity scores,"Trained as a statistician, my primary research interests are in the development and use of methodology to better design and analyze the causal effects of public health and educational interventions. In this way I hope to bridge statistical advances and research practice, working with mental health and educational researchers to identify and solve methodological challenges.

I am particularly interested in the trade-offs in different designs for estimating causal effects, especially in terms of improving internal validity of non-experimental studies and external validity of randomized studies. This translates into two primary research areas. First, one of my primary research areas is in the use of propensity score methods for estimating causal effects in non-experimental studies (essentially as a tool to improve internal validity and reduce confounding).

My interests in this area include providing advice for researchers in terms of best practice for estimation, diagnostics, and use of propensity score methods. This also includes investigation of how to handle complexities in propensity score methods, including multilevel data settings, covariate measurement error, and complex survey data. My second primary research area is in methods to assess and enhance the external validity (generalizability) of randomized trial results and enable policymakers to determine how applicable the results of a particular randomized study are to their own target population. I also have interests in handling complexities in randomized experiments, in particular missing data and non-compliance.

The applied areas I focus on include autism, the long-term consequences of adolescent substance abuse, education, mental health services and systems, and the effects of health care reform models on mental health service use.","Bloomberg School of Public Health, Departments of Mental Health, Biostatistics, Health Policy & Management",Bloomberg School of Public Health,https://www.elizabethstuart.org/
Elizabeth Thornberry,Assistant Professor,"Department of History,Center for Africana Studies"," History, gender, sexuality, empire, law, colonialism, Africa, South Africa","My current research project is a history of indigenous African law, more commonly known as customary, law in South Africa during the late 19th and early 20th centuries. During this period, as four separate jurisdictions merged into the Union of South Africa, the place of customary law in the white-ruled state emerged as a crucial problem for colonial administrators and African intellectuals alike. My research investigates local debates over state implementation of customary law, seeking to show how the regime of customary law that emerged from this period was shaped by debates within African communities as much as by theories of paternalism and segregation. 

This project involves archival research across multiple languages, including English, isiZulu, isiXhosa, seSotho, seTswana, Afrikaans, and Dutch.  I would be open to working with undergraduate students with an interest in history or African Studies.  Paid positions are available for those with competence in one of these languages other than English.",Gilman 338E,Gilman Hall,
Ellen MacKenzie,"Bloomberg Distinguished Professor, Dean of Bloomberg School of Public Health","Emergency Medicine,Orthopedic Surgery,Physical Medicine and Rehabilitation,Biostatistics,Health Policy and Management",Injury Control; Outcomes Research; Disability and Rehabilitation; Health Services Research; Orthopedic Outcomes Research; Extremity War Injuries,"Dr. MacKenzie's research focuses on the impact of health services and policies on the short-and long-term consequences of traumatic injury. She has contributed to the development and evaluation of tools for measuring both the severity and outcome of injury which have been used to evaluate the organization, financing and performance of trauma systems and rehabilitation services. Her research has advanced the knowledge of the economic and social impact of injuries and our understanding of how personal and environmental factors influence recovery and return to work.

Selected research accomplishments include:
• A comprehensive effort in the late 1980s to estimate the direct and indirect costs of injury. The Cost of Injury book defined the economic burden of injury and served for many years as the principal resource on the subject for researchers, practitioners and policymakers.
• Widely quoted in support of efforts at regionalization at both the state and national levels, the National Study on the Costs and Outcomes of Trauma Care (NSCOT) showed that one’s risk of dying from a major trauma was reduced by 25% if treated in a trauma center vs. non-trauma center.
• The NIH-funded Lower Extremity Assessment Project (LEAP) showed few differences in outcome for individuals with major limb trauma undergoing limb salvage or amputation. Instead, it underscored the importance of high self-efficacy, good social support, and low baseline measures of depression, pain and anxiety in predicting good outcome.
• In collaborations with colleagues at the Amputee Coalition of America, a self–management program for amputees, Promoting Amputee Life Skills (PALS), was developed and evaluated. Working off the success of PALS, an online self-management program, NextSteps, was designed for trauma survivors (www.nextstepsonline.org).
• With funding from the Department of Defense the Major Extremity Trauma Research Consortium (METRC) (www.metrc.org) was established. The overall goal of METRC is to produce the evidence needed to establish treatment guidelines for the optimal care of the wounded warrior and improve the clinical and quality of life outcomes of both service members and civilians who sustain major extremity trauma. The Consortium is currently involved in 20 multicenter trials addressing a range of different topics, including the prevention and treatment of acute and chronic infections, the efficacy of multimodal, pharmacologic perioperative management of pain, and the evaluation of a new custom energy-storing ankle foot orthosis for survivors of major foot and ankle trauma.",Room W1041,Bloomberg School of Public Health,
Elliott Haut,Associate Professor,"Anesthesiology and Critical Care Medicine,Emergency Medicine,Surgery,Armstrong Institute for Patient Safety and Quality,Health Policy and Management",,"Dr. Haut’s research focuses on the diagnosis, prevention and public reporting of venous thromboembolism (VTE)- deep vein thrombosis (DVT) and pulmonary embolism (PE). He was funded by a four-year grant from the Agency for Healthcare Research and Quality (AHRQ), titled “Does Screening Variability Make DVT an Unreliable Quality Measure of Trauma Care?” He is the principal investigator of multiple large-scale projects including “Preventing Venous Thromboembolism (VTE): Empowering Patients and Enabling Patient-centered Care via Health Information Technology” funded by the Patient-Centered Outcomes Research Institute (PCORI) and “Individualized Performance Feedback on Venous Thromboembolism Prevention Practice” funded by an R01 grant AHRQ.","1800 Orleans Street, Sheikh Zayed 6107C, Baltimore, Maryland 21287",1800 Orleans St,
Emanuele Berti,Professor,Department of Physics & Astronomy,"gravitational physics, and in particular on black holes, neutron stars, gravitational radiation, relativistic astrophysics and strong-field tests of general relativity",,Bloomberg 449,Bloomberg ,https://pages.jh.edu/eberti2/
Emily Agree,Research Professor,"Department of Sociology,Population Center,Institute for Data Intensive Engineering & Science (IDIES)"," Gerontology, demography, sociology of health and illness","National Health and Aging Trends Study (NHATS)
NHATS is a new NIA-funded national survey based at Johns Hopkins. It is designed to promote scientific study of late-life disability trends and dynamics; and to advance our understanding of the social and economic impact of late-life functional changes for older people, their families, and society.

National Study of Caregiving (NSOC)
The NSOC is a national study of about 2,000 people who help older family members and friends with their daily activities. Caregivers are linked to the respondents in the NHATS.

How Older Adults Access Online Health Information

In our research, we use innovative technological approaches to study how older Americans navigate the Internet to find information about medical conditions, health care, assistive technologies, and other health-related resources.",Mergenthaler 558,Mergenthaler ,
Emily Anderson,Assistant Professor,"Department of Classics,Department of the History of Art,Program in Archaeology","Aegean and Eastern Mediterranean Bronze Age art and archaeology, material culture, craft, glyptic, human/non-human relations, the ongoing biographies of ancient forms and materials","Emily Anderson’s research and fieldwork primarily concern the material and visual cultures of the Aegean and eastern Mediterranean Bronze Age with a focus on the ways in which objects are involved in the relations, negotiations and unfolding of sociocultural life. Particular studies examine corpora of material that range in context from Early Minoan Crete to the Mycenaean sphere of interaction during the Late Bronze Age. She received her PhD in Archaeology from Yale University (2009), preceded by an MPhil from Yale and a BA with honors in Old World Archaeology and Art from Brown University.

Dr. Anderson’s first book, Seals, Craft and Community in Bronze Age Crete (Cambridge University Press, 2016), examines a group of stamp seals from the transitional Early-to-Middle Minoan period on Crete that are both engraved with the island’s earliest glyptic iconography and fashioned of imported hippopotamus ivory. The book investigates the implications of these novel aspects of the objects, considering how the imagery engraved on the seals developed practically and symbolically, and how that relates to their prominent use of a rare imported raw material. By embedding these extraordinary objects within the broader context of the time, Dr. Anderson further examines how the seals are but one element of a process of social and spatial “incorporation” on the island, as the nature and scale of persons’ relations to one another were fundamentally reformulated. This study consequently considers various dimensions of social experience and action, from fine-scale handwork of semi-itinerant craftspersons to performative displays at public gatherings, from the forging of footpaths linking distant communities to the development of shared symbolic forms.

Anderson’s current book project concerns the engagement of humans and non-humans in Bronze Age Crete and the Aegean. This project focuses on how representational objects can be understood as vibrant animal bodies, animated by their own distinctive dynamisms. The unique physical, material and mechanical qualities of these things contribute to peculiar affordances in their relations with people and environments. The inter-corporealities of human bodies and these object bodies have potentially powerful sensorial, emotional and social dimensions, and constitute vital aspects of people’s actual, embodied relations with non-humans.

Another research project examines the presence of replicas of ancient objects in modern Baltimore during the Gilded and Jazz Ages. Two corpora constitute the core of this study. The first is a collection of plaster casts of classical sculpture commissioned ca. 1879 for the Peabody Institute, one of the nation’s first public cultural centers. Another is a group of reproductions of Minoan and Mycenaean objects produced for Johns Hopkins University’s Archaeological Collection in the early twentieth century. These two groups of objects, which differ in their substance, contexts, color, scale and interactive character, embody developing attitudes toward the classical past in the modern American city. They force us to consider the realities of access to ancient forms and to consider how the re-embodiment and re-contextualization of these forms in the city not only impacted the identity of the modern urban space but also, simultaneously, contributed to the formation of the ancient past itself. 

Dr. Anderson has undertaken research and fieldwork in the Aegean for nearly two decades, focusing on artifact studies, archaeological excavation, survey, and illustration. These projects have ranged in locale from Crete to the Greek mainland, covering periods from the Final Neolithic to the early Classical and centering primarily on the Early–Late Bronze Age. She has been part of multiple large-scale field projects, including the Eastern Korinthia Archaeological Survey, the Azoria Excavations, the Saronic Harbors Archaeological Research Project, and the Eastern Boeotia Archaeological Project.",Gilman 190,Gilman Hall,
Emily Boss,Professor ,"Otolaryngology - Head and Neck Surgery,Pediatrics,Armstrong Institute for Patient Safety and Quality,Health Policy and Management","Patient and family experience of care, provider-family communication, healthcare disparities, and surgical healthcare quality and utilization.","The Boss Lab's research focus is on patient experience, health disparities, and surgical outcomes and utilization. Studies include shared decision-making, communication, and patient/parent-reported outcomes for elective surgery in children; patient satisfaction metrics, outcomes, and health correlates in surgery and pediatrics; patient and family-centered care and communication in surgery and pediatrics; racial, ethnic, and socioeconomic disparities in pediatric surgical care utilization and outcomes; and quality and safety in pediatric surgical care","601 N. Caroline Street, 6th Floor, Baltimore, Maryland 21287",601 N Caroline St,https://www.hopkinsmedicine.org/research/labs/the-boss-lab
Emily Fisher,Associate Teaching Professor,Department of Biology,,How and with whom students work to learn biology. Development of effective teaching practices in science communication.,181 UTL,Krieger Hall,
Emily Riehl,Associate Professor,Department of Mathematics,"category theory, abstract homotopy theory, and homotopy type theory",,Krieger 312,Krieger Hall,https://emilyriehl.github.io/
Emily Zackin,Associate Professor,"Department of Political Science,Racism, Immigration, and Citizenship Program"," American politics, constitutional law",,276 Mergenthaler,Keyser Quad,
Enrique Mallada,Assistant Professor,Electrical and Computer Engineering,"Reinforcement Learning, Theory of Deep Learning, Networked Dynamical Systems, Power Systems, Control Theory, Optimization","Research Interests
-Networked Systems: coupled oscillators, clock synchronization, saddle-flows, network coherence, distributed coordination, consensus
-Power Systems: frequency control, inverter-based control, real-time congestion management, electricity markets, reduced-order models
-Optimization: time-varying optimization, primal-dual algorithms, semidefinite programming, sum-of-squares optimization
-Machine Learning: reinforcement learning, sparse recovery, subspace preserving recovery, network tomography, multi-armed bandits",Barton Hall 312,Barton Hall,http://mallada.ece.jhu.edu/
Eric Bass,Professor ,"Medicine,Armstrong Institute for Patient Safety and Quality,Health Policy and Management",Evidence-Based Medicine; and Comparative Effectiveness of Medical and Surgical Interventions ,,"624 N. Broadway, room 680A, Baltimore, Maryland 21205",624 N. Broadway,https://www.jhsph.edu/research/centers-and-institutes/johns-hopkins-evidence-based-practice-center/
Eric Edelman,Distinguished Practitioner-in-Residence ,"Washington DC,Merrill Center for Strategic Studies",American Defense Policy; American Foreign Policy; Nuclear Policy and Proliferation; Strategic and Security Issues,,Rome 731,1619 Massachusetts Ave,
Eric Nuermberger,Professor ,"Medicine,International Health,Infectious Diseases","Drug development for tuberculosis and non-tuberculous mycobacterial infections, including Mycobacterium ulcerans disease (Buruli ulcer)","The primary research focus in our laboratory is translational research related to the development of new drugs and regimens to improve the treatment of important mycobacterial infections, including tuberculosis (TB), Buruli ulcer and other diseases caused by nontuberculous mycobacteria. We approach the problem using both established and emerging animal and in vitro models of infection and relying on pharmacodynamic principles. Our major goal is to identify and optimize new drugs and drug combinations to shorten and/or simplify treatment and restrict the emergence of drug resistance. Over the past 18 years, we have worked with a variety of public and private sponsors and partners to inform the development of a number of new and repurposed drugs, including moxifloxacin, rifapentine, bedaquiline, pretomanid, sutezolid, and linezolid, as well as novel regimens containing these drugs. We continue to refine existing models and develop new models for pre-clinical drug efficacy studies, including murine models of latent TB infection, cavitary TB and an in vitro “hollow fiber” system for studying the pharmacodynamics of new drugs and combinations.

We are applying similar approaches to improve the treatment of Buruli ulcer and other diseases caused by nontuberculous mycobacteria. Buruli ulcer is a neglected tropical disease characterized by enlarging and ultimately disabling skin ulcers caused by infection with Mycobacterium ulcerans and production of its unique cytotoxin, mycolactone. Only in the last two decades has chemotherapy replaced surgery as the preferred therapeutic option, especially for early lesions. However, early lesions are difficult to detect with available diagnostics and the currently recommended regimens of rifampin combined with either streptomycin or clarithromycin for 8 weeks have many drawbacks. We aim to translate advances in the TB drug development space and novel ideas for detection of mycolactone in biological samples to shorten and simplify treatment and improve point-of-care diagnostics. Pulmonary disease caused by nontuberculous mycobacteria, including Mycobacterium avium complex and Mycobacterium abscessus complex, is notoriously difficult to treat, and there are limited tools available for preclinical evaluation of new treatment options. We are working to repurpose existing antibiotics and, with the Global Alliance for TB Drug Development, to discover new, more effective drugs against these opportunistic pathogens and to develop superior in vitro and mouse model systems for evaluating their activity in novel regimens.","1550 Orleans Street, Room 107, Baltimore, Maryland 21287",1550 Orleans Street,https://nuermbergerlab.com/
Eric Puchner,Associate Professor,The Writing Seminars,,,Gilman 38E,Gilman Hall,
Eric Seaberg,Assistant Professor,Epidemiology,"Epidemiologic methods, cohort studies, case-control studies, HIV/AIDS, viral hepatitis, liver transplantation, longitudinal data analysis, survival analysis.",,"615 N. Wolfe Street, E-7634, Baltimore, Maryland 21205",615 N. Wolfe Street,
Eric Strain,Professor,"Psychiatry and Behavioral Sciences,Mental Health","Clinical research in substance abuse, including medications development, abuse liability testing, psychiatric comorbidity, and behavioral interventions.","Dr. Strain is the recipient of several competitive grant awards from the National Institute of Health, and has published extensively on substance misuse-related matters. His research areas have included topics such as the optimal mechanisms for treating patients with substance use disorders, including opioid and cocaine dependence, the relationship between substance misuse and other psychiatric disorders, the abuse liability of novel medications, and the development of new pharmacotherapies for substance abuse treatment (including opioids and alcohol). His studies have included medications such as buprenorphine, methadone and LAAM, pharmacotherapies for alcohol dependence, and non-pharmacologic treatments for substance use disorders.","Johns Hopkins Bayview Medical Center, 5510 Nathan Shock Drive, Baltimore, Maryland 21224",5510 Nathan Shock Drive,
Erica Schoenberger,Professor,"Department of Anthropology,Environmental Health and Engineering,Environmental Science & Studies (ENVS) Program","economic geography, environmental history, environmental politics and policy, history of mining, history of the automobile, interdisciplinary scientific collaboration",,Ames 501,Ames,
Erika Matunis,Professor ,"Cell Biology,Institute for Cell Engineering",Molecular genetics of germ line stem cell function,"Dr. Matunis studies the stem cells that sustain spermatogenesis in the fruit fly Drosophila melanogaster to understand how signals from neighboring cells create a local microenvironment, or niche, to regulate tissue regeneration. In the fruit fly testes, germ line stem cells attach to a cluster of non-dividing somatic cells called the hub. When a germ line stem cells divide, daughters are pushed away from the hub and differentiate. The germ line stem cells receive a signal from the niche (or hub) that allows it to remain a stem cell, while daughters displaced out of this niche lose the signal and differentiate. Researchers in the Matunis lab have found many regulatory signals involved in this process using genetic and genomic approaches. The Matunis lab has also found some surprising changes in cell identity that happen after tissues are injured. For example, differentiating cells can revert to stem cells, and quiescent niche cells can transdifferentiate into stem cells.  Stem cells can even switch their sex identity under some circumstances. The Matunis Lab is currently performing single cell RNA-seq on this tissue.  Her team also investigates Leydig cell regeneration in the mouse testis.",Hunterian G11,Hunterian ,http://cellbio.jhmi.edu/people/faculty/erika-matunis-phd
Erin Chung,Associate Professor ,"Program in East Asian Studies,Program in International Studies,Department of Political Science,Racism, Immigration, and Citizenship Program"," Politics of East Asia, with particular interests in citizenship, immigration, and civil society in Japan and South Korea",,Mergenthaler 365,Keyser Quad,
Erin Jimenez,Assistant Professor,Department of Biology,,"  When discussing the use of animal models, their biological similarities are often emphasized, but it is equally true that differences between model organisms and humans can be leveraged for important scientific discoveries. One area where that has become increasingly true is regenerative biology. Zebrafish are highly regenerative and one of the very interesting cell types it can regenerate but mammals cannot is the mechanosensory receptors of the inner ear that detect sound and control balance. These receptors, known as “hair cells,” regenerate completely in zebrafish and other non-mammalian vertebrates after being destroyed or damaged, while in mammals, hair cell death results in permanent hearing loss or vestibular dysfunction. To understand hearing regeneration, it is essential to understand how genes respond to injury and how those responses are controlled in the genome.   To study this phenomenon, research in the Jimenez laboratory is focused on understanding the zebrafish hair cell regeneration program at the regulatory level and delineating the critical epigenetic differences between a regenerating and non-regenerating animal to shed light on potential strategies to “reactivate” hair cell regeneration in mammals.  Please visit the Jimenez Lab Website for more information: https://erinjimenez.com/&nbsp;   What will you learn?  Genetics, genomics, &amp; molecular biology.  What animal models do we use?  Zebrafish ",Singer Building 224,Singer Building,https://erinjimenez.com/
Erin Rowe,Professor ,"Department of History,Program in Latin American Studies",Early modern Spain; the Mediterranean; saints and sanctity; women and gender,"My research explores the religious culture of the early modern Iberian world, with particular emphasis on theology, race, gender, and visual culture.

My 2019 monograph, Black Saints in Early Modern Global Catholicism, presents the untold story of how black saints - and the slaves who venerated them - transformed the early modern church. From the sixteenth to the eighteenth centuries, Spanish and Portuguese monarchs launched global campaigns for territory and trade. This process spurred two efforts that reshaped the world: missions to spread Christianity to the four corners of the globe, and the horrors of the transatlantic slave trade. These efforts joined in unexpected ways to give rise to black saints. By exploring race, the Atlantic slave trade, and global Christianity, she provides new ways of thinking about blackness, holiness, and cultural authority. The book analyzes previously unstudied sculptures and paintings of black saints, examines the impact of black lay communities, and excavates controversies unfolding in the church about race, moral potential, enslavement, and salvation. Black Saints has won the the Roland H. Bainton Prize by Sixteenth Century Studies (2020) and the Albert C. Outler Prize by the American Society of Church History (2020).&nbsp;",Gilman 338B,Gilman Hall,
Ernest Amankwah,Associate Professor ,"Oncology, Sidney Kimmel Comprehensive Cancer Center,Pediatrics",,,All Childrens Hospital,1800 Orleans St,
Ernst Niebur,Professor ,"Department of Psychological & Brain Sciences,Mind/Brain Institute,Neuroscience","Systems, Cognitive, Computational Neuroscience; Neural Circuits, Ensembles, Connectomes","In the Computational Neuroscience Laboratory, we construct quantitative models of biological nervous systems which are firmly based on their neurophysiology, neuroanatomy and behavior, and which are developed in close interaction with experimentalists. The main interest is neuronal function as the system level, reflecting the interaction of subsystems to generate useful behavior. Modeling is particularly important for understanding this and other system level functions since it required the interaction of several pathways and neural functions. One of the functions studied is selective attention, that is the capability of higher animals to scan sensory input for the most important information and to discard all other. Models of the neuronal basis of visual selective attention are constructed by simulating them on digital computers and comparing the results with date obtained from the visual and somatosensory systems of primates. We pay particular attention to the study of mechanisms involving implementation of neural mechanisms which make use of the temporal structure of neuronal firing, rather than just the average firing rate.",Brain/ Krieger Hall 335A,Krieger Hall,http://cnslab.mb.jhu.edu/
Errol Fields,Assistant Professor ,"Pediatrics,Health, Behavior and Society","HIV, Sexually transmitted infections, Adolescents, Young adults, African American men, Men who have sex with men (MSM) ","Dr. Fields’s research uses mixed methodologies to understand and reduce HIV disparities among adolescent and young adult African American gay and bisexual men, as well as other men who have sex with men (MSM).","200 N. Wolfe Street, Suite 2027, Baltimore, Maryland 21287",200 N. Wolfe Street,
Ethan Vishniac,Research Professor,Department of Physics & Astronomy,"Theoretical Astrophysics: magnetized turbulence, dynamos in stars and disks, and magnetic field reconnection and diffusion.",,Bloomberg 501,Blalock,
Eugene Finkel,Associate Professor,"Washington DC,SAIS Europe",Conflict; Genocide; Political Violence; Reforms; Regimes,,Rome 517/ SAIS Europe,1619 Massachusetts Ave,
Eugene Shenderov,Assistant Professor,"Oncology, Sidney Kimmel Comprehensive Cancer Center",Cancer Immunotherapy; Cancer Biomarkers; Prostate Cancer; Targeted Cancer Therapies ,,Viragh 9th Fl,201 N Broadway,
Evan Bloch,Associate Professor,"Pathology,International Health",Neglected Infectious diseases; transfusion transmitted infectious; Babesia; Zika,"Dr. Bloch's major research focus is neglected and emerging infectious diseases particularly in the context of blood transfusion safety. Dr. Bloch has drawn on his diverse background to advance a longstanding interest in the interplay between blood transfusion and infectious diseases, particularly in low and low-middle income countries where transfusion-transmitted infection remains a key metric of suboptimal policies and practices. Blood transfusion networks afford invaluable opportunity to study neglected (e.g., Babesia) and emerging infectious diseases (Zika, SARS-CoV2), as donors contribute large volume samples across a diverse geography. Importantly, many —if not most—infectious risks to the blood supply remain neglected (e.g., malaria, bacteria), particularly in low resource settings, whereby research can yield high impact public health intervention. Blood transfusion itself can also be used to contend with emerging pathogens, as illustrated by the use of convalescent plasma to prevent and/or treat COVID-19.

He has a particular interest in babesiosis, a tick-borne parasitic infection that is endemic to parts of the United States (US). Babesia is globally ubiquitous, yet lack of awareness, in part due to historically limited diagnostic tools, has impeded greater recognition of its role in human disease. Dr. Bloch has participated in studies to develop both antibody and molecular tests for detection of Babesia. The studies have also been used to understand the biology of Babesia infection as well as to conduct surveillance outside of the US.","600 N. Wolfe Street, Carnegie 446D1, Baltimore, Maryland 21287",600 N. Wolfe Street,
Evangelos Moudrianakis,Professor,"Department of Biology,Department of Biophysics",Assembly and dynamics of nucleoproteins and chromosomes; bacterial and chloroplast bioenergetics,"The research activities of this laboratory are focused on the elucidation of the basic rules governing macromolecular assembly and the acquisition of new, ""system properties"" by these assemblies, i.e., toward an understanding of the rules of linkage between form and function. Diverse experimental systems are utilized in these studies.

Chromosome - Chromatin: The assembly, architecture and the control of transcription of the eukaryotic genetic apparatus are analyzed by cytological, biochemical and biophysical techniques ranging from in vitro cell culture and light and electron microscopy, through analytical ultracentrifugation and gel permeation chromatography, to x-ray crystallography and microcalorimetry. We have established that the histone ""core"" of the nucleosome is organized as a tripartite protein entity by the assembly of two dimers of H2A-H2B, one on each side of a centrally located H3-H4 tetramer. The contact interfaces of this assembly are considered as regulatory domains in the functional transitions of chromatin and are being probed by chemical, enzymatic and biophysical probes. We determined the crystal structure of the histone octamer to ca. 3Å resolution and the arrangement of its subunits have revealed novel modes for polypeptide assembly (i.e., histone fold, handshake motif) and protein-DNA recognition and binding (i.e., paired element motifs PEMs). The path of the double helix over the histone octamer has been determined and found to be guided by the 12 repetitive PEMs. Using these geometric constraints, a high resolution model for the nucleosome has been obtained and optimized through molecular dynamics simulations in collaboration with Drs. C. S. Tung and A. E. Garcia of Los Alamos. These simulations revealed that the nucleosome fluctuations are dominated by motions in the DNA backbone. The nucleosome is surrounded by a positive ion cloud with an average local density exceeding by a factor of 5-10 the bulk phase ion concentration. We also see high water density at the protein-DNA boundaries, at the DNA grooves and especially between the two apposing gyres of the nucleosomal DNA.

The energetics of the assembly of the nucleosomal components are analyzed microcalorimetrically through collaboration with Dr. E. Freire of the Biocalorimetry Center of this department. The patterns and specificity of protein-DNA interactions are analyzed by chemical, topological and structural methods. Nucleosome reconstitution experiments utilizing core histone subunits (regular and acetylated), transcription factors and specific sequences of circular DNA are in progress.

Bioenergetics: The mechanism of protein thermostability and enzyme thermoactivity in Archaea are studied. Particular emphasis is focused on the role of osmolytes in protein stabilization.",20 B Bio East,Biology East,
Evelyne Ender,Senior Lecturer,Comparative Thought & Literature,"19th- and 20th-century literatures, literary criticism and theory, psychoanalysis, feminist criticism, and gender, memory studies, body-mind issues",,Gilman 261,Gilman Hall,
F. Randy Bryant,Professor,Biochemistry and Molecular Biology,"Biochemistry and molecular biology, E. coli, Streptococcus, RecA, strand-exchange, ATP hydrolysis, recombination, DNA repair",,"615 N. Wolfe Street, W8025, Baltimore, Maryland 21205",615 N. Wolfe Street,
Fabio Romerio,Associate Professor,Molecular and Comparative Pathobiology,HIV-1; antisense gene ASP; viral latency; viral replication; HIV-1 cure.,"Dr. Romerio focuses on basic and translational HIV-1 research. His lab studies an HIV-1 gene, called ASP.   Dr. Romerio's lab has discovered that the ASP RNA is a bifunctional transcript. It has noncoding functions that involve the establishment and maintenance of viral latency through epigenetic silencing of the HIV-1 promoter. As part of the translational studies ongoing in the lab, Dr. Romerio's team is currently seeking to exploit these properties to develop a ""block and lock"" functional cure for HIV-1 infection.  The ASP RNA has also protein-coding functions, and it encodes a protein that promotes viral replication. As part of the basic research studies on the ASP gene, Dr. Romerio is interested in elucidating the molecular mechanisms through which ASP impacts the virus life cycle.  Overall, research in Dr. Romerio's lab involves a broad spectrum of technique from biochemistry, to molecular virology, cell biology, and animal model studies.",Miller Research Building 829,Miller Research Building,https://www.hopkinsmedicine.org/profiles/details/fabio-romerio
Fei Lu,Assistant Professor,Department of Mathematics," Malliavin calculus, stochastic PDE, stochastic modeling in scientific computing, statistical inference, and data assimilation","My research interests are in probability, statistics, and their applications in scientific computing. My current research focuses on learning dynamics from data and data assimilation. I am interested in the following topics:

Model reduction for complex systems (chaotic/stochastic DEs/PDEs)
Data assimilation, Monte-Carlo sampling and inverse problems
Statistical inference (time series/diffusion processes), nonparametric inference
Malliavin calculus, Stein's method and stochastic PDEs
Variational methods and critical point theory",Krieger 301,Krieger Hall,https://mathematics.jhu.edu/directory/fei-lu/
Feilim Mac Gabhann,Associate Professor,"Biomedical Engineering,Institute for Basic Biomedical Sciences (IBBS),Institute for Computational Medicine (ICM)","Computational modeling of growth factor-receptor networks, personalized medicine, therapeutic cardiovascular remodeling, novel methods for data visualization and automated image analysis, Computational Medicine, Genomics and Systems Biology, Immunoengineering, Translational Cell and Tissue Engineering","The Mac Gabhann Lab is located in the Institute of Computational Medicine at Johns Hopkins University. Under the direction of Dr. Feilim Mac Gabhann, we build multi-scale, mechanistic computational models to better understand biological, physiological, and pharmacological systems and to improve therapy design. We are interested in a broad range of disease areas, including vascular diseases, cancer, HIV, and gynecological disorders.",Hackerman 316A,Hackerman,https://macglab.icm.jhu.edu/
Fengyi Wan,Associate Professor,"Oncology, Sidney Kimmel Comprehensive Cancer Center,Biochemistry and Molecular Biology,Molecular Microbiology and Immunology",host-pathogen-microbiota interactions; lethal colitis; colon tumorigenesis; bacterial infection; RNA-binding proteins; autoimmune diseases.,,"615 N. Wolfe Street, Room W8515, Baltimore, Maryland 21205",615 N. Wolfe Street,https://publichealth.jhu.edu/faculty/2472/fengyi-wan
